application	agent	coverage	states
org.moire.opensudoku	[0, 0, 0, 1, 1, 1, 1, 1, 1]	11.0	8
org.moire.opensudoku	[1, 0, 0, 1, 0, 0, 0, 0, 1]	10.0	4
org.moire.opensudoku	[0, 0, 0, 1, 1, 0, 0, 1, 1]	10.0	4
org.moire.opensudoku	[0, 1, 1, 0, 1, 1, 1, 0, 0]	11.0	4
org.moire.opensudoku	[0, 0, 0, 1, 1, 1, 1, 0, 0]	11.0	7
org.moire.opensudoku	[0, 1, 1, 0, 1, 0, 1, 1, 1]	10.0	4
org.moire.opensudoku	[0, 0, 0, 1, 1, 1, 1, 1, 0]	11.0	9
org.moire.opensudoku	[0, 1, 1, 0, 0, 1, 1, 1, 1]	13.0	8
org.moire.opensudoku	[0, 1, 1, 1, 1, 1, 1, 1, 0]	38.0	11
org.moire.opensudoku	[0, 0, 0, 1, 0, 1, 1, 1, 1]	14.0	7
org.moire.opensudoku	[0, 1, 1, 0, 1, 1, 1, 1, 0]	11.0	5
org.moire.opensudoku	[0, 0, 0, 1, 1, 1, 1, 1, 1]	14.0	8
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 0, 1, 0, 0, 0]	14.0	6
com.dozingcatsoftware.bouncy	[1, 0, 1, 0, 1, 1, 0, 1, 1]	19.0	7
com.dozingcatsoftware.bouncy	[1, 1, 1, 1, 0, 0, 1, 0, 0]	13.0	2
com.dozingcatsoftware.bouncy	[0, 0, 0, 1, 0, 0, 0, 0, 0]	13.0	2
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 1, 1, 0, 1, 1]	15.0	6
com.dozingcatsoftware.bouncy	[1, 0, 1, 0, 0, 1, 0, 0, 0]	14.0	3
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 1, 1, 0, 1, 1]	25.0	6
com.dozingcatsoftware.bouncy	[1, 0, 1, 0, 0, 1, 0, 0, 0]	14.0	4
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 1, 1, 0, 1, 1]	25.0	6
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 1, 1, 0, 1, 1]	15.0	8
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 1, 1, 0, 1, 1]	20.0	7
com.dozingcatsoftware.bouncy	[1, 1, 0, 1, 1, 1, 0, 1, 1]	19.0	7
ch.logixisland.anuto	[1, 1, 1, 0, 1, 0, 1, 0, 1]	38.0	2
ch.logixisland.anuto	[1, 0, 0, 1, 0, 1, 0, 0, 0]	40.0	7
ch.logixisland.anuto	[1, 0, 1, 0, 0, 0, 0, 0, 1]	36.0	2
ch.logixisland.anuto	[1, 0, 0, 1, 1, 0, 0, 1, 0]	36.0	2
ch.logixisland.anuto	[1, 1, 1, 0, 0, 1, 0, 0, 0]	45.0	5
ch.logixisland.anuto	[1, 0, 0, 0, 1, 0, 1, 0, 1]	37.0	2
ch.logixisland.anuto	[0, 1, 1, 0, 0, 1, 0, 0, 0]	47.0	5
ch.logixisland.anuto	[1, 0, 0, 1, 0, 0, 1, 0, 1]	36.0	2
ch.logixisland.anuto	[1, 1, 1, 0, 0, 1, 0, 0, 1]	46.0	4
ch.logixisland.anuto	[0, 0, 1, 0, 0, 1, 0, 0, 0]	42.0	5
ch.logixisland.anuto	[0, 1, 1, 0, 1, 1, 0, 0, 0]	46.0	4
ch.logixisland.anuto	[0, 1, 1, 0, 0, 1, 0, 0, 1]	46.0	3
de.tobiasbielefeld.solitaire	[0, 0, 0, 0, 0, 0, 0, 1, 1]	4.0	3
de.tobiasbielefeld.solitaire	[0, 1, 0, 1, 0, 0, 0, 0, 0]	4.0	3
