application	mode	states	score	time
com.discord	mankey	5	0.0	637.2715027332306
com.discord	ga	4	0.0	213.6024329662323
org.plantnet	mankey	7	0.0	618.6344699859619
org.plantnet	ga	9	0.0	158.78623485565186
ru.zdevs.zarchiver	mankey	3	0	958.9499888420105
ru.zdevs.zarchiver	ga	9	0	167.87284803390503
com.adsk.sketchbook	mankey	6	-1	1243.7919731140137
com.adsk.sketchbook	ga	6	0	171.9144959449768
org.plantnet	mankey	11	0.0	285.42476081848145
org.plantnet	ga	12	0.0	87.27089405059814
ru.zdevs.zarchiver	mankey	14	0	301.2766079902649
ru.zdevs.zarchiver	ga	9	0	146.65129494667053
com.adsk.sketchbook	mankey	7	0	302.54837679862976
com.adsk.sketchbook	ga	4	0	139.3000659942627
org.plantnet	mankey	10	0.0	665.3338112831116
org.plantnet	ga	8	0.0	135.2642822265625
ru.zdevs.zarchiver	mankey	9	0	921.2157771587372
ru.zdevs.zarchiver	ga	9	0.0	194.16805219650269
org.plantnet	mankey	11	0.0	229.40632700920105
org.plantnet	ga	10	0.0	99.7921450138092
com.adsk.sketchbook	mankey	4	0	459.7172939777374
com.adsk.sketchbook	ga	5	0	131.6430060863495
com.truecaller	mankey	2	-1	308.6665892601013
com.truecaller	ga	4	0.0	153.6734390258789
com.nbaimd.gametime.nba2011	mankey	5	0	357.0074338912964
com.nbaimd.gametime.nba2011	ga	6	0	94.82637596130371
com.avast.android.mobilesecurity	mankey	8	-1	295.2435050010681
com.avast.android.mobilesecurity	ga	3	-1	63.83686089515686
com.plexapp.android	mankey	2	-1	2109.8374178409576
com.plexapp.android	ga	2	-1	648.8507308959961
com.domobile.applockwatcher	mankey	2	-1	282.51014590263367
com.domobile.applockwatcher	ga	2	-1	70.79269886016846
com.google.android.apps.paidtasks	mankey	5	-1	347.0708169937134
com.google.android.apps.paidtasks	ga	10	-1	519.3600509166718
com.hb.hungryhub	mankey	9	-1	1287.9388937950134
com.hb.hungryhub	ga	12	-1	466.76206612586975
com.binance.dev	mankey	10	-1	385.4985978603363
com.binance.dev	ga	10	-1	137.63872814178467
com.gamma.scan	mankey	6	-1	376.30091524124146
com.gamma.scan	ga	7	-1	520.4308481216431
com.ubercab.eats	mankey	2	-1	759.1900820732117
com.ubercab.eats	ga	4	-1	205.7439160346985
com.whatsapp	mankey	5	-1	307.77543807029724
com.whatsapp	ga	5	-1	211.56413984298706
com.microsoft.teams	mankey	12	-1	315.5877368450165
com.microsoft.teams	ga	6	-1	91.22764873504639
com.what3words.android	mankey	3	-1	441.0635199546814
com.what3words.android	ga	4	-1	132.7552478313446
com.opera.app.news	mankey	8	-1	1399.9372611045837
com.opera.app.news	ga	13	-1	685.9876778125763
org.telegram.messenger	mankey	5	-1	233.22708201408386
org.telegram.messenger	ga	5	-1	139.1300950050354
com.amazon.avod.thirdpartyclient	mankey	5	-1	419.9182391166687
com.amazon.avod.thirdpartyclient	ga	9	-1	133.647136926651
com.paypal.android.p2pmobile	mankey	6	-1	292.47324299812317
com.paypal.android.p2pmobile	ga	6	-1	180.87940311431885
com.ebay.mobile	mankey	11	-1	544.3901009559631
com.ebay.mobile	ga	11	-1	323.8225939273834
com.booking	mankey	13	-1	230.22796297073364
com.booking	ga	13	-1	288.42149019241333
com.wetherspoon.orderandpay	mankey	9	-1	265.8975901603699
com.wetherspoon.orderandpay	ga	10	-1	152.822909116745
com.google.android.play.games	mankey	7	0	271.70831203460693
com.google.android.play.games	ga	4	0	104.27683115005493
com.voice.funnyvoicechanger	mankey	6	-1	317.66246509552
com.voice.funnyvoicechanger	ga	4	-1	80.0936529636383
com.twitter.android	mankey	4	-1	324.7985520362854
com.twitter.android	ga	3	-1	152.58639407157898
video.reface.app	mankey	6	-1	291.9404511451721
video.reface.app	ga	3	-1	91.44953918457031
com.google.android.apps.authenticator2	mankey	12	-1	287.0542206764221
com.google.android.apps.authenticator2	ga	5	-1	112.8026990890503
